"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5322",229199,"St. Kitts and Nevis",361,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",49912645.6851852,48586612.2959259,44151210.956,52770092.4017185,69986901.8518519,45952992.5925926
"5323",229204,"St. Kitts and Nevis",361,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-6518865.23074074,-432062.534814815,8226199.98851852,-4505123.46740741,2443532.71481481,-5082560.98148148
"5324",229259,"St. Kitts and Nevis",361,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",-4142261.55888889,-2952124.04074073,-2693240.17262963,-1681869.89414815,-52472603.0678093,-790711.435996144
"5325",229265,"St. Kitts and Nevis",361,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",16481398.0415519,17691367.4060008,17200643.0251986,18241624.8557012,20725926.9066292,7211564.80562652
"5326",229267,"St. Kitts and Nevis",361,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",50405966.9306689,52211583.6766133,50898788.6496718,55711328.5447289,55573621.7408933,37160534.7013874
"5327",229371,"St. Kitts and Nevis",361,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-29806562.1058863,-75101065.306317,-67618892.9361537,-24620631.1689131,5901888.20025833,-50337532.7053837
"5328",229391,"St. Kitts and Nevis",361,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",-1395129.87000001,-10995487.4777778,-2510112.26892593,-2361648.3422963,-52246149.2159574,-456095.506366515
"5329",229394,"St. Kitts and Nevis",361,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-38479207.1976518,32381072.3855954,44100133.0005132,-1689032.43264259,-373566.200156949,10381188.4184371
"5330",229395,"St. Kitts and Nevis",361,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,1270126.81438528,0,0,0,0
"5331",229400,"St. Kitts and Nevis",361,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-29806562.1058853,-75101065.3063188,-67618892.9361545,-24620631.1689142,5901888.20025736,-50337532.7053833
