"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"440",695,"Belgium",124,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",3.59684e+11,3.77941e+11,4.18158e+11,4.51405e+11,4.41566e+11,4.17222e+11
"441",696,"Belgium",124,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",3.53183e+11,3.72254e+11,4.12898e+11,4.53057e+11,4.38221e+11,4.08343e+11
"445",700,"Belize",339,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",70068176.16,67619165.84,67541021,66496851.17,62354488.54,64252614.82
"446",701,"Belize",339,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",25021970.61,27977237.39,29366237.39,25181227.39,28679227.39,28461237.39
"455",710,"Belize",339,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1033644192,968526944.2,1030908165,1071298552,1102475875,714623553.5
"456",711,"Belize",339,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1182622393,1131810777,1087886311,1155093354,1203192599,901818661.9
"458",713,"Belize",339,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",1210522.334,1332729.695,1482169.582,1574883.841,1656669.247,2061705.268
"459",714,"Belize",339,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",51461402.59,64222441.57,126038445.3,101114581.6,115424687.6,13135815.26
"484",745,"Benin",638,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2736492200,3189693705,3314328545,3847619384,3584933958,3506194080
"485",746,"Benin",638,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",3493292685,3715712760,4017845451,4668665793,4306601255,3941918100
"492",753,"Benin",638,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",143363705.9,142446338.4,143669439.9,187377574.2,169290711.2,170295957.1
"493",754,"Benin",638,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",352481016,547205995.5,540393907.8,527225433.8,468344737.4,411823166.6
"494",755,"Benin",638,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",330845.957,4819225.346,4596364.379,3042039.38,12090946.6,13105678.97
"495",756,"Benin",638,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",64419564.31,7243434.572,27153270.86,29841274.08,31137903.68,48910424.13
"507",768,"Bermuda",319,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",34829674.7,35133136.67,35386468.5,42446954.56,57136990.12,39600631.02
"508",769,"Bermuda",319,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",260283918.3,267306123.2,271632308,232161534.4,239930155.3,155832178.1
"519",780,"Bermuda",319,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",1259589527,1313493632,1395210435,1585558509,1605054628,1027345720
"520",781,"Bermuda",319,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1828003107,1923976651,2044357675,2197111579,2223822428,1723367797
"521",782,"Bermuda",319,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",107884765.9,116492993.7,155294116.9,110425213.9,86812680.04,78532381.96
"522",783,"Bermuda",319,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",80344833.24,108218041.2,66878564.85,120343029,218700904.7,106600176.9
"529",790,"Bhutan",514,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",706946117.9,642339520.1,716346961.3,785622133.8,777529115.3,786680733.2
"531",792,"Bhutan",514,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",2156872.941,1847072.956,744580.5243,1481073.367,2753883.101,-1180494.315
"535",796,"Bhutan",514,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",62521269.76,51284381.23,57532858.59,53143978.56,54868743.41,57885936.85
"537",798,"Bhutan",514,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",26264156.28,46934768.01,48058661.84,72223317.34,38311050.2,38203031.11
"542",803,"Bhutan",514,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",1203680778,1237308412,1234918507,1248481207,1229725206,1188476133
"551",812,"Bhutan",514,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,0,0,0,0
"557",818,"Bolivia",218,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",7003286.759,21846685.09,26325878.61,712347.8304,-136247.8522,17545831.36
"558",819,"Bolivia",218,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",1078282072,565328313.4,1014456874,821626031.5,575449558.5,140352247.8
"562",823,"Bolivia",218,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",303620418.8,298558056.1,419227510,445985058.4,452976251.8,141239622.3
"567",828,"Bolivia",218,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",770454263.2,717484856.9,801429697.6,765013779.2,755173777,520825148.6
"579",840,"Bolivia",218,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",9927413077,8274686876,9588789732,10399006027,10271105039,7442774100
"581",842,"Bolivia",218,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",11907150275,10788701065,11762009850,12391416914,11957287652,8077653564
"596",857,"Bosnia and Herzegovina",963,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",5759120183,6149663056,7432685496,8592405564,8198634415,6936343374
"597",858,"Bosnia and Herzegovina",963,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",8720639357,8960591907,10372840125,11555954902,11155950547,9725808302
"601",862,"Bosnia and Herzegovina",963,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",345361222.4,354933546.3,437019696.9,492744560.6,483436370.2,374090008.9
"602",863,"Bosnia and Herzegovina",963,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",188930788.8,189659719.8,246603626.4,277329805.6,286963970.9,211909691.9
"613",874,"Bosnia and Herzegovina",963,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",2113894.358,646808.8894,6361414.521,5775702.214,11051397.29,18699903.42
"614",875,"Bosnia and Herzegovina",963,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",310169005,399879291.9,606096667.5,630556221.7,617781818.7,527173226.4
"618",879,"Botswana",616,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",45191279.89,33152576.8,51244915.8,60010137.05,64019344.38,56902325.05
"619",880,"Botswana",616,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",288141280.7,259306116.5,215189636.5,251279737.8,264046760.5,271633479.6
"620",881,"Botswana",616,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",4360303.402,1467060.835,2344027.148,-38990848.17,-700257.7508,-20358714.24
"621",882,"Botswana",616,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",407984308.3,1250211877,1228949177,1447759921,1011955542,6388896.414
"629",891,"Botswana",616,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",7183707022,8223923925,6904828443,7532334396,6228711669,4703378590
"630",892,"Botswana",616,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",8092740291,6915891943,6281640520,7362391277,7695776473,7553975272
"655",918,"Brazil",223,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",2.51814e+11,2.09433e+11,2.35561e+11,2.69519e+11,2.70767e+11,2.30508e+11
"660",923,"Brazil",223,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",2.23589e+11,2.17321e+11,2.51258e+11,2.73564e+11,2.58833e+11,2.38221e+11
"664",927,"Brazil",223,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",12901037613,10608714965,13245362065,14233877959,13611631244,10959718826
"665",928,"Brazil",223,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",13914636167,30358815376,41473999358,45739613016,54051475782,39364463447
"666",929,"Brazil",223,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",3976839665,4029855509,4569137529,4475254262,4282707220,3997426929
"672",935,"Brazil",223,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",-2398059213,7877813589,17331772142,4834886329,16070788788,13198972009
"680",943,"Brunei Darussalam",516,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",6773193238,5342041396,6025744290,7040938538,7827700937,6886208832
"681",944,"Brunei Darussalam",516,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",465952026.6,344885174.9,347339435.3,303302714.1,277883020.7,145094670.1
"685",948,"Brunei Darussalam",516,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",233136514,213494673.8,260281791.2,225835409.7,234384797.2,228032553.1
"692",955,"Brunei Darussalam",516,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",4869795669,4302942619,4320510019,5681696875,6805793042,6382221490
"704",969,"Bulgaria",918,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",2561050000,3006080000,3392090000,3807600000,3743290000,3711470000
"705",970,"Bulgaria",918,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",36880000,98600000,183180000,88660000,215570000,82800000
"711",976,"Bulgaria",918,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",1713260000,1886070000,2055980000,2317500000,2323340000,1702160000
"713",978,"Bulgaria",918,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",32475140000,34499550000,39873370000,43521580000,44041210000,39541290000
