"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"146602","Lithuania",946,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",379794452.030318,-36932187.7314069,-11847363.8033324,-46431433.7141014,233089838.591992,1683801219.04144
"146671","Lithuania",946,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",253992562.328485,176714545.731754,873184707.703185,901522478.955299,2849644917.64337,5152349028.71413
"146753","Lithuania",946,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",87077522.1616179,86917500.4066679,602070251.973659,381328987.556963,1262896435.19858,414970953.59504
"146759","Lithuania",946,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",1236565696.83312,627728502.292672,574546913.049625,778224632.370968,920816812.600912,991334613.855805
"146809","Lithuania",946,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",28485127914.7432,29079835812.0531,35225956372.4963,40361411833.0654,42323027306.9473,41720683937.5686
"146810","Lithuania",946,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",28902632122.4058,28776243570.9033,34095706759.3042,39402590724.8983,39419498683.2625,36414080259.4586
"146909","Lithuania",946,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",1655085972.64822,1697739166.34927,1965862574.22668,2218949088.426,2335086947.50376,2272408822.02326
"146910","Lithuania",946,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-337417496.702993,2982232531.84333,3135403753.9355,1058436641.06273,-2022676476.08954,-796890111.282058
"146922","Lithuania",946,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,0,0,38859946.3390643,24843866.1653602,54366264.5449382
"146954","Lithuania",946,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",1240517511.77842,631733684.259715,580359017.793971,781154406.095877,932326599.524342,1003236214.12428
"147015","Lithuania",946,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",-165097477.629252,-638288085.451364,1965287646.21362,-638914413.643354,1895476447.81439,1695276948.27855
"147037","Lithuania",946,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-1480939162.33037,902787825.866154,1698092094.0543,1379298555.82907,-661346717.966331,-425034232.566417
"147554","Luxembourg",137,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",-123043255.339935,-93843387.4831096,-163693454.351491,-209751942.036042,-157554158.014274,-17581173.0219585
"147574","Luxembourg",137,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD",90058844488.6873,90613682547.5829,101739242696.31,113256099380.909,116802620684.752,121353185502.312
"147602","Luxembourg",137,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",531559294.936537,487028832.249572,557843475.466195,2849816223.61216,1656491465.03788,949412348.475064
"147603","Luxembourg",137,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",697445238.879466,658854071.472167,795906601.371434,875630953.185886,1746088052.72857,1028688347.86343
"147604","Luxembourg",137,"Capital Account, Total, Net, US Dollars","BK_BP6_USD",-165885943.94293,-171825239.222595,-238063125.90524,1974185270.42628,-89596587.690685,-79275999.38837
"147605","Luxembourg",137,"Current Account, Goods and Services, Credit, US Dollars","BXGS_BP6_USD",117166628194.409,117984760847.504,127863699586.887,137656269526.08,139558791313.034,145612304309.52
"147636","Luxembourg",137,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",139529589648.654,3591581397.89846,144631524030.089,87528489376.4962,-4709081920.66366,114968185535.048
"147637","Luxembourg",137,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",261744621082.099,84927991001.6066,374531573344.788,140311914508.189,196107467233.047,248964326922.259
"147650","Luxembourg",137,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",704609921746.95,178946825516.242,260336022206.257,-531308417282.362,-119740019803.032,-44488621072.5971
"147673","Luxembourg",137,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",2755038906.24576,2764374560.96651,2745710813.68,4623323269.72578,2369888891.12502,2266947998.422
"147691","Luxembourg",137,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",2755038906.24577,2764374560.96645,2745710813.67994,4623323269.72582,2369888891.12503,2266947998.42205
"147713","Luxembourg",137,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",97693810038.3595,64583240940.0576,41482583872.7777,22476338660.9968,-12840467513.5349,-66837228274.7498
"147721","Luxembourg",137,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",122215031433.445,81336409603.7081,229900049314.698,52783425131.6923,200816549153.71,133996141387.211
"147723","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, Long-term, US Dollars","BFOLNLO_L_BP6_USD",8541911786.34762,5059239132.64776,21777719095.5558,-26922273337.3451,42500561872.4075,17316303149.9051
"147744","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",30898119834.1542,31067039777.223,30746043758.1012,-3735758017.38821,44656333309.9466,13840086035.2393
"147745","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",30898119834.1542,31067039777.223,30930300401.4762,-3556094075.2077,44656333309.9466,14426769835.9484
"147746","Luxembourg",137,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-33591330118.5932,23778493048.9204,-9454334652.70175,20120133625.9404,-30828680646.4639,1450608519.13171
"147857","Luxembourg",137,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",178732152464.809,204036850915.614,202348027086.045,239392853796.579,206535962863.754,187432523539.563
"147858","Luxembourg",137,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",157393060012.8,185208951535.263,177792464073.682,209365517944.96,177961794554.133,168766500860.113
"147936","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-2693210284.43891,54845532826.1434,21475965748.7745,16564039550.7327,13827652663.4827,15877378355.0801
"147962","Luxembourg",137,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",5035097123.0862,4640176710.76282,5329327294.97544,5922425698.39965,5411689865.73413,14663357510.5155
"147963","Luxembourg",137,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4203864975.17526,4453953824.89121,5603194973.68369,6620992840.11827,6436985302.42183,13630360921.4173
"147971","Luxembourg",137,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",35926150.5402726,76180757.4376499,65653054.630457,190790471.866531,200664805.666099,191581746.070307
"148082","Luxembourg",137,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",697715237669.522,179346761237.359,261550955873.464,-532214709577.656,-116409662046.086,-40815609127.739
"148083","Luxembourg",137,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",701253153271.657,61221669028.6811,86889485211.2649,-620142262871.879,-318839070890.808,-142007154404.725
"148125","Luxembourg",137,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",437812880933.411,215021264738.376,450503029733.659,249391204896.461,307197622232.003,249352489858.41
"148128","Luxembourg",137,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-56270526.6569772,220557877.140272,-143094756.904868,76096901.76797,99950344.2779953,1811226.22349957
"148154","Luxembourg",137,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",-58021715.6863896,217497014.97836,-127232763.023689,67342778.1729448,40258911.9257421,46861720.1414587
"148180","Luxembourg",137,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-56179523238.6616,-47999506026.5812,-83526115029.8068,-203233183694.235,-321986492340.182,-70948579675.2753
"148238","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",0,0,184256643.375086,179663942.180513,0,586683800.709079
"148314","Luxembourg",137,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",0,0,184256643.375086,179663942.180513,0,586683800.709079
"148849","Madagascar, Rep. of",674,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",20760800.0556384,1259925.25436797,-368765.106208694,383016.938053733,54088.3747601394,-2335617.79426415
"148850","Madagascar, Rep. of",674,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",20760800.0556384,1259925.25436797,-358654.509551988,383016.938053733,54088.3747601394,-2335617.79426415
"148863","Madagascar, Rep. of",674,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars","BACK_BP6_USD",-125359155.270846,324545590.252545,204230882.282601,337820216.689266,32938729.4988827,-408491746.431673
"148882","Madagascar, Rep. of",674,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",81923951.0892881,89727785.4203707,105965703.391882,117896273.803835,101618229.988351,119093406.8286
"148884","Madagascar, Rep. of",674,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",292150812.41868,487203901.32752,404204273.131727,538042702.947404,409661211.730214,302210764.276268
"148904","Madagascar, Rep. of",674,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",130475259.406579,279740936.668679,234350591.092179,239771602.409118,335295320.604768,214657731.164065
"148940","Madagascar, Rep. of",674,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, Other Long-term, US Dollars","BFOLNLG_L_BP6_USD",210664919.400714,67669129.273398,163494608.821937,217672079.454112,181454558.115705,229766379.550483
"148941","Madagascar, Rep. of",674,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, General Government, US Dollars","BFOLNLG_BP6_USD",210664919.400714,67669129.273398,163494608.821937,217672079.454112,181454558.115705,229766379.550483
