"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
84,367,"Australia",193,"Current_Account_Credit","BXGS_BP6_USD",2.43106e+11,2.509e+11,2.96577e+11,3.27131e+11,3.42185e+11,3.00713e+11
85,368,"Australia",193,"Current_Account_Debit","BMGS_BP6_USD",2.70881e+11,2.61288e+11,2.89337e+11,3.11529e+11,2.94718e+11,2.5026e+11
86,371,"Australia",193,"Supplementary_Current_Capital","BTCC_BP6_USD",-57415186711,-41792743212,-35961930356,-31968829620,5623891762,31789555954
87,377,"Australia",193,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",17252075723,751817330.4,-4620644944,196530752.5,14564526497,-6738692840
88,378,"Australia",193,"Financial_Loans_Total","BFOLN_BP6_USD",36125751891,-11009172078,-9704060487,685351434.5,-9689384690,2305284216
89,384,"Australia",193,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-57415194263,-41792780533,-35961898791,-31967325605,5623891762,31790211693
90,387,"Australia",193,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-2345772740,7854443321,8735418216,-11082782427,3025659846,-16749745109
91,395,"Austria",122,"Financial_Loans_Total","BFOLN_BP6_USD",-6575603873,-10535997916,-1877265645,2510530502,5181367534,2654096525
92,400,"Austria",122,"Current_Account_Credit","BXGS_BP6_USD",2.02399e+11,2.07007e+11,2.25372e+11,2.52205e+11,2.47738e+11,2.24734e+11
93,401,"Austria",122,"Current_Account_Debit","BMGS_BP6_USD",1.88489e+11,1.92378e+11,2.12902e+11,2.38933e+11,2.31992e+11,2.11736e+11
94,403,"Austria",122,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",4437593992,3366679233,195689686.7,3843246405,-3471155748,-1808019643
95,407,"Austria",122,"Transport_Services_Credit","BXSTR_BP6_USD",14206149189,14288688652,15847805843,17241923195,17971910671,15901996446
96,408,"Austria",122,"Transport_Services_Debit","BMSTR_BP6_USD",14581221495,14776228557,16490083893,18233815933,18463235103,16220083391
97,414,"Austria",122,"Supplementary_Current_Capital","BTCC_BP6_USD",4645792949,10330946344,5329251561,1719643115,10558103626,12416383793
98,415,"Austria",122,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-363231367.5,534419743.3,-3497680858,2620758658,-206071045.8,1739967694
99,420,"Austria",122,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",4643566028,10334266966,5329361372,1717310212,10559227326,12418586619
100,427,"Azerbaijan, Rep. of",912,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-266379000,-1403535000,1784928000,6052500600,4346266019,-234943000
101,431,"Azerbaijan, Rep. of",912,"Supplementary_Current_Capital","BTCC_BP6_USD",-266379000,-1403535000,1784928000,6052500600,4346266019,-234943000
102,438,"Azerbaijan, Rep. of",912,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-8430674229,-992410843.6,1294781737,318675623.9,642373814.3,75627855
