"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"160","Angola",614,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD",-902693588.3,10772685040,-317671864.7,-83097912.76,-1897360698,-1066592705
"161","Angola",614,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",687050548,-11085693029,61022412.82,285047949.8,1680315289,911988606.7
"162","Angola",614,"Financial Account, Portfolio Investment, Net Incurrence of Liabilities, Debt Securities, US Dollars","BFPLD_BP6_USD",1492500000,0,0,3.5e+09,3e+09,0
"163","Angola",614,"Current Account, Goods and Services, Services, Transport, Credit, US Dollars","BXSTR_BP6_USD",25297552.43,32634214.49,23111939.08,27902711.24,31837859.25,8531917.53
"164","Angola",614,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD",-215643040.3,-313007989.3,-256649451.8,201950037,-217045408.7,-154604098.6
"165","Angola",614,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",4058035115,3109728471,3108468021,3320012689,3125074989,2043961830
"166","Angola",614,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",5053751494,-57911731.12,-104082247.5,647837636.9,640874748,113356992.8
"167","Angola",614,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",-784870216.6,273005000,1352005057,5714167.485,-2349425835,90514469
"168","Angola",614,"Supplementary Items, Total Current + Capital Account, US Dollars","BTCC_BP6_USD",-10266566180,-3084605245,-630241494.9,7405537615,5139440070,873133751.7
"169","Angola",614,"Supplementary Items, Reserve Position in the Fund (with Fund Record), US Dollars","BFRAIMFFR_BP6_USD",0,158505940.2,0,0,-40310.29202,-44416.85709
"170","Angola",614,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",1492500000,0,0,3.5e+09,3e+09,0
"171","Angola",614,"Supplementary Items, Reserve Assets (with Fund Record), US Dollars","BFRAFR_BP6_USD",-3059154773,370006780.6,-5006997607,-947719437.9,966869765,-2818509713
"172","Angola",614,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-37678735.95,-49962289.36,-5874651.676,-43732852.27,11340536.28,-3393147.119
"173","Angola",614,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",1083960719,33328156.63,14999141.38,-109031699.3,1312754748,-1636969224
"174","Angola",614,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",0,0,0,0,0,17791.63
"175","Angola",614,"Capital Account, Capital Transfers, Net, US Dollars","BKT_BP6_USD",0,0,0,0,0,0
"176","Angola",614,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",-777568027,273005000,1352005057,5714167.485,-2349425835,90514469
"177","Angola",614,"Capital Account, Capital Transfers, Credit, US Dollars","BKT_CD_BP6_USD",0,0,0,0,0,0
"178","Angola",614,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",-777568027,273005000,1352005057,5714167.485,-2349425835,90514469
"179","Angola",614,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",0,0,21003800,3540000,9589800,109939800
"180","Anguilla",312,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",0,0,9259259.259,13919022.47,589250,77681.7012
"181","Anguilla",312,"Current Account, Goods and Services, Services, Transport, Debit, US Dollars","BMSTR_BP6_USD",22595987.78,21816808.39,20259715.02,31176941.33,30545527.47,15490076.87
"182","Anguilla",312,"Current Account, Primary Income, Investment Income, Direct Investment, Credit, US Dollars","BXIPID_BP6_USD",89544.5,44137.38889,170337.0444,170337.0444,287060.3593,184892.3074
"183","Anguilla",312,"Current Account, Primary Income, Investment Income, Direct Investment, Debit, US Dollars","BMIPID_BP6_USD",17493811.42,6233573.399,24601234.41,23719537.41,51151360.22,-2164510.587
"184","Anguilla",312,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",-536703.7037,-4550854.111,2684317.274,9705245.274,85104635.14,82035504.53
"185","Anguilla",312,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",2978566.296,7682322.719,3302345.589,1206927.244,90710.51852,37123880.96
